fixture_id,team,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,expected_goals,goals_prevented
1323242,England,6,2,12,4,11,1,9,4,2,74%,0.0,,0,865,812,94%,,
1323242,Albania,0,2,3,1,1,2,7,1,2,26%,1.0,,3,299,249,83%,,
1323254,England,8,9,27,10,21,6,11,10,0,73%,1.0,,1,696,660,95%,,
1323254,Latvia,1,1,3,1,1,2,13,2,2,27%,2.0,,5,257,197,77%,,
1323267,Andorra,0,3,4,1,3,1,13,0,0,17%,,,9,152,88,58%,,
1323267,England,10,7,20,3,12,8,8,12,2,83%,,,0,751,683,91%,,
1323291,England,7,3,11,1,9,2,10,8,5,83%,1.0,,0,787,710,90%,1.97,
1323291,Andorra,0,2,2,0,1,1,8,0,1,17%,1.0,,5,165,93,56%,0.10,
1323310,Serbia,0,1,3,2,2,1,11,2,1,30%,1.0,1.0,7,253,204,81%,0.02,
1323310,England,12,4,24,8,16,8,10,6,2,70%,1.0,0.0,0,588,536,91%,3.56,
1323342,Latvia,1,2,6,3,5,1,11,2,0,28%,4.0,,3,288,234,81%,0.47,
1323342,England,7,10,24,7,13,11,5,9,1,72%,1.0,,1,719,661,92%,2.90,
1323347,England,6,7,19,6,10,9,13,6,2,70%,0.0,,1,647,588,91%,0.93,
1323347,Serbia,1,3,7,3,5,2,10,5,2,30%,1.0,,4,270,212,79%,1.06,
1323361,Albania,3,3,6,0,4,2,9,5,1,30%,1.0,,5,286,211,74%,0.60,
1323361,England,7,4,14,3,10,4,10,5,2,70%,2.0,,3,686,633,92%,1.66,
