fixture_id,team,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,expected_goals,goals_prevented
1323244,Moldova,4,4,10,2,4,6,10,6,2.0,31%,1.0,,4,267,212,79%,,
1323244,Norway,8,6,24,10,17,7,9,6,0.0,69%,1.0,,4,622,565,91%,,
1323255,Israel,6,4,10,0,6,4,7,2,1.0,44%,1.0,,8,468,416,89%,,
1323255,Norway,12,5,23,6,20,3,9,7,1.0,56%,2.0,,4,568,526,93%,,
1323271,Estonia,2,2,7,3,3,4,7,2,,38%,1.0,,2,352,290,82%,,
1323271,Norway,3,10,19,6,15,4,9,2,,62%,1.0,,2,587,512,87%,,
1323303,Norway,17,8,34,9,29,5,6,4,,71%,0.0,,0,654,594,91%,8.10,
1323303,Moldova,0,1,2,1,2,0,10,1,,29%,1.0,,6,270,207,77%,0.17,
1323324,Norway,5,6,16,5,12,4,10,5,1.0,54%,0.0,,1,475,427,90%,2.51,
1323324,Israel,1,2,4,1,1,3,11,1,1.0,46%,1.0,,2,408,353,87%,0.19,
1323345,Norway,7,5,18,6,15,3,9,8,2.0,68%,,,2,661,601,91%,2.48,
1323345,Estonia,3,1,6,2,4,2,17,0,1.0,32%,,,3,320,253,79%,0.67,
1366273,Norway,4,1,8,3,5,3,11,6,0.0,38%,2.0,,1,355,304,86%,,
1366273,Italy,1,2,6,3,3,3,10,2,2.0,62%,0.0,,1,583,525,90%,,
1366321,Italy,4,6,15,5,9,6,15,6,,58%,3.0,,1,535,473,88%,0.89,
1366321,Norway,5,8,13,0,8,5,8,2,,42%,2.0,,3,394,333,85%,1.42,
