player,appearances,minutes,goals,assists,shots,shots_on,passes,key_passes,rating
Ø. Nyland,8,720.0,0,0,,,191.0,,6.99
J. Ryerson,8,720.0,1,4,5.0,1.0,391.0,18.0,7.6
K. Ajer,8,703.0,1,0,4.0,2.0,552.0,,7.1
L. Østigård,5,75.0,0,0,1.0,,64.0,,6.7
D. Møller Wolfe,8,684.0,1,2,2.0,1.0,401.0,8.0,7.05
S. Berge,8,720.0,0,2,3.0,,735.0,11.0,7.58
M. Ødegaard,5,449.0,1,7,7.0,2.0,399.0,27.0,8.68
T. Aasgaard,4,118.0,4,1,6.0,4.0,52.0,1.0,7.88
A. Schjelderup,5,167.0,0,1,3.0,2.0,52.0,4.0,6.85
A. Sørloth,8,592.0,5,2,20.0,11.0,182.0,15.0,7.48
E. Haaland,8,706.0,16,2,35.0,28.0,112.0,7.0,8.25
T. Heggem,8,664.0,0,0,1.0,1.0,508.0,,6.93
P. Berg,7,362.0,0,0,3.0,1.0,179.0,1.0,6.83
A. Dønnum,4,77.0,1,0,2.0,1.0,30.0,1.0,6.68
J. Hauge,2,43.0,0,0,1.0,,20.0,1.0,6.6
E. Botheim,1,12.0,0,0,,,3.0,1.0,6.9
M. Dyngeland,0,,0,0,,,,,
E. Selvik,0,,0,0,,,,,
S. Gregersen,1,1.0,0,0,,,,,
M. Pedersen,2,16.0,0,0,,,11.0,,6.7
