date,home,away,home_score,away_score,team
2025-03-21 19:45:00+00:00,England,Albania,2,0,England
2025-03-22 17:00:00+00:00,Moldova,Norway,0,5,Norway
2025-03-24 19:45:00+00:00,England,Latvia,3,0,England
2025-03-25 19:45:00+00:00,Israel,Norway,2,4,Norway
2025-06-06 18:45:00+00:00,Norway,Italy,3,0,Norway
2025-06-07 16:00:00+00:00,Andorra,England,0,1,England
2025-06-09 18:45:00+00:00,Estonia,Norway,0,1,Norway
2025-09-06 16:00:00+00:00,England,Andorra,2,0,England
2025-09-09 18:45:00+00:00,Norway,Moldova,11,1,Norway
2025-09-09 18:45:00+00:00,Serbia,England,0,5,England
2025-10-11 16:00:00+00:00,Norway,Israel,5,0,Norway
2025-10-14 18:45:00+00:00,Latvia,England,0,5,England
2025-11-13 17:00:00+00:00,Norway,Estonia,4,1,Norway
2025-11-13 19:45:00+00:00,England,Serbia,2,0,England
2025-11-16 17:00:00+00:00,Albania,England,0,2,England
2025-11-16 19:45:00+00:00,Italy,Norway,1,4,Norway
